ID,Reference,Species,Synonym,Family,Growth_form,Life_span,Tissue,Seed_Cat,Leaf_strategy,Leaf_form,PS_type,Dr
0188,Baitulin 1979,Thymus pannonicus,"Thymus marschallianus, Thymus stepposus",Lamiaceae,Semi-shrub,P,Woody,Dicot,,,C3,0.8
0189,Baitulin 1979:49,Halostachys belangeriana,Halostachus caesia,Amaranthaceae,Shrub,P,Woody,Dicot,,,C3,2
0190,Baitulin 1979:48,Haloxylon aphyllum,,Amaranthaceae,Tree,P,Woody,Dicot,E,,C4,4.16
0191,Baitulin 1979:p.114-115,Suaeda microphylla,,Amaranthaceae,Forb,P,Herbaceous,Dicot,,,C4,0.3
0192,Baitulin 1979:47,Euphorbia jaxartica,,Euphorbiaceae,Forb,P,Herbaceous,Dicot,,,C3,2.32
0193,Baitulin 1979:47,Lepidium crassifolium,,Brassicaceae,Forb,P,Herbaceous,Dicot,,,C3,2.8
0194,Baitulin 1979:47,Limonium otolepis,,Plumbaginaceae,Forb,P,Herbaceous,Dicot,,,C3,2.04
0195,Baitulin 1979:46,Pseudosophora alopecuroides,Goebelia alopecuroides,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.88
0196,Baitulin 1979:47,Artemisia scoparia,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,2.17
0197,Baitulin 1979:46,Alhagi pseudalhagi,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,2.88
0198,Baitulin 1979:8,Alhagi pseudalhagi,,Fabaceae,Forb,P,Herbaceous,Dicot,,,C3,6.5
0199,Baitulin 1979:10,Artemisia nitrosa,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,0.85
0200,Baitulin 1979:8,Karelinia caspia,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,6.5
0201,Baitulin 1979:10,Kochia iranica,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C4,0.7
0202,Baitulin 1979:8,Krascheninnikovia ceratoides,Ceratoides latens,Amaranthaceae,Semi-shrub,P,Woody,Dicot,E,,C3,6.5
0203,Baitulin 1979:9,Limonium myrianthum,,Plumbaginaceae,Forb,P,Herbaceous,Dicot,,,C3,3
0204,Baitulin 1979:9,Nitraria sibirica,,Nitrariaceae,Shrub,P,Woody,Dicot,,,C3,4
0205,Baitulin 1979:10,Petrosimonia sibirica,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C4,0.62
0206,Baitulin 1979:9,Phragmites australis,Phragmites communis,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,2.9
0207,Baitulin 1979:9,Suaeda microphylla,,Amaranthaceae,Semi-shrub,P,Woody,Dicot,,,C4,1.85
0208,Baitulin 1979:8,Zygophyllum fabago,,Zygophyllaceae,Forb,P,Herbaceous,Dicot,,,C3,6.5
0209,Baitulin 1979,Agropyron fragile,,Poaceae,Grass,P,Herbaceous,Monocot,,,C3,1.22
0210,Baitulin 1979:11,Artemisia scoparia,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.26
0211,Baitulin 1979,Artemisia songarica,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.6
0212,Baitulin 1979,Artemisia terrae-albae,,Asteraceae,Semi-shrub,P,Woody,Dicot,E,,C3,1.5
0213,Baitulin 1979,Carex physodes,,Cyperaceae,Grass,P,Herbaceous,Monocot,,,C3,0.43
0214,Baitulin 1979,Ceratocarpus arenarius,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C3,1.24
0215,Baitulin 1979,Chondrilla ambigua,,Asteraceae,Forb,P,Herbaceous,Dicot,,,C3,2.75
0216,Baitulin 1979,Corispermum lehmannianum,,Amaranthaceae,Forb,A,Herbaceous,Dicot,,,C3,0.88
